City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Salalah,OM,17.0151,54.0924,86.09,84,100,5.75,overcast clouds
80,Plettenberg Bay,ZA,-34.0527,23.3716,55.09,46,60,7.81,broken clouds
81,Jamestown,US,42.097,-79.2353,76.71,89,0,8.99,clear sky
82,Bilibino,RU,68.0546,166.4372,61.97,26,34,2.86,scattered clouds
83,Te Anau,NZ,-45.4167,167.7167,46.47,84,12,1.07,few clouds
84,Kirakira,SB,-10.4544,161.9205,83.55,75,75,9.24,broken clouds
85,Port Elizabeth,ZA,-33.918,25.5701,53.1,72,0,8.05,clear sky
86,Mar Del Plata,AR,-38.0023,-57.5575,42.1,91,40,2.3,fog
87,Mataura,NZ,-46.1927,168.8643,46.47,73,6,1.14,clear sky
88,Big Spring,US,32.2504,-101.4787,91.85,18,0,12.66,clear sky
89,Tiarei,PF,-17.5333,-149.3333,82.42,73,30,17.94,scattered clouds
90,Sistranda,NO,63.7256,8.834,49.96,94,100,9.01,overcast clouds
91,Cape Town,ZA,-33.9258,18.4232,61.21,53,0,13.8,clear sky
92,Japura,ID,-0.3167,102.35,83.91,69,89,3.18,overcast clouds
93,Nikolskoye,RU,59.7035,30.7861,55.87,75,100,6.51,overcast clouds
94,Dunedin,NZ,-45.8742,170.5036,51.8,53,20,4.0,few clouds
95,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.07,88,100,8.77,overcast clouds
96,Redlands,US,34.0556,-117.1825,82.92,51,0,13.8,haze
97,Bulolo,PG,-7.2,146.65,78.53,79,82,4.12,broken clouds
98,Trelew,AR,-43.249,-65.3051,40.62,85,56,27.45,broken clouds
99,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,6.91,broken clouds
100,Hobart,AU,-42.8794,147.3294,52.27,87,75,9.22,moderate rain
101,San Cristobal,VE,7.7669,-72.225,75.38,98,39,2.19,scattered clouds
102,Katsuura,JP,35.1333,140.3,74.77,85,100,15.26,light rain
103,Arraial Do Cabo,BR,-22.9661,-42.0278,68.81,78,0,17.27,clear sky
104,Norman Wells,CA,65.282,-126.8329,64.44,36,20,16.11,few clouds
105,Chuy,UY,-33.6971,-53.4616,54.7,96,100,6.35,overcast clouds
106,Qaqortoq,GL,60.7167,-46.0333,38.25,77,100,4.47,overcast clouds
107,Otane,NZ,-39.8833,176.6333,57.0,93,100,3.09,overcast clouds
108,Kichera,RU,55.9375,110.0997,75.33,41,100,1.41,overcast clouds
109,Asau,RO,46.4333,26.4,51.28,77,41,5.79,scattered clouds
